,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1700.898828373694,461.6876682954278,3.684089797,0.000265187,792.9207777311337,2608.876879016254
season,367.6755632997701,60.709841532799565,6.056276116305243,3.5411819102286125e-09,248.28055373997938,487.0705728595608
mnth,1.204978876951436,18.987873967578185,0.063460442,0.9494354747895538,-36.13752337,38.54748112437175
workingday,49.243798291243614,78.37850558650031,0.6282819240141934,0.530222124,-104.8992893,203.3868859276442
weathersit,-538.5793853,83.88740242038745,-6.420265376,4.350704873309387e-10,-703.5565448,-373.6022257
temp,4735.522139226336,907.7014874342518,5.2170479004192964,3.0930471826448187e-07,2950.3910133100007,6520.6532651426705
hum,-478.5962047,756.6610368024172,-0.632510703,0.5274592464047366,-1966.683629,1009.4912197158463
windspeed,-2189.531898,511.5748546751052,-4.279983423,2.4058563801445135e-05,-3195.620583,-1183.443212
temp:hum,-211.3576524,1463.0960434899353,-0.144459178,0.8852196336097837,-3088.755479,2666.040174523772
